Question Number,Difficulty Level,Question,Option A,Option B,Option C,Correct Answer,Hint
1,आसान,ऋण में उधार ली गई मूल धनराशि के लिए किस शब्द का प्रयोग किया जाता है?,ब्याज,मूलधन,संपार्श्विक,B,किसी भी शुल्क या लागत को जोड़ने से पहले धन की मूल राशि के बारे में सोचें।
2,आसान,पैसे उधार लेने की लागत को क्या कहते हैं?,मूलधन,ऋण अवधि,ब्याज,C,यह वह अतिरिक्त राशि है जिसे आप मूलधन के ऊपर चुकाते हैं।
3,आसान,निम्नलिखित में से कौन सा ऋण के लिए संपार्श्विक का एक उदाहरण है?,उधारकर्ता के हस्ताक्षर,एक कार,एक अच्छा क्रेडिट स्कोर,B,यह एक मूल्यवान संपत्ति है जिसका उपयोग ऋण को सुरक्षित करने के लिए किया जाता है।
4,आसान,जिस ऋण में संपार्श्विक की आवश्यकता होती है उसे किस प्रकार का ऋण कहा जाता है?,एक असुरक्षित ऋण,एक सुरक्षित ऋण,एक रिवॉल्विंग ऋण,B,ऋण एक भौतिक संपत्ति द्वारा 'सुरक्षित' है।
5,आसान,निम्नलिखित में से कौन सा आमतौर पर एक निश्चित व्यय है?,परिवर्तनीय-दर बंधक भुगतान,क्रेडिट कार्ड शेष,निश्चित-दर कार ऋण भुगतान,C,इस प्रकार का खर्च ऋण के जीवनकाल में नहीं बदलता है।
6,आसान,ऋण अवधि क्या है?,भुगतान किया गया कुल ब्याज,वह समय जिसके भीतर आपको ऋण चुकाना होता है,प्रत्येक मासिक भुगतान की राशि,B,यह चुकौती अवधि की अवधि को संदर्भित करता है।
7,आसान,क्रेडिट स्कोर का मुख्य उद्देश्य क्या है?,अपनी खर्च करने की आदतों को ट्रैक करने के लिए,ऋण के लिए आपकी पात्रता निर्धारित करने के लिए,अपना मासिक बजट निर्धारित करने के लिए,B,इस स्कोर का उपयोग उधारदाताओं द्वारा जोखिम का आकलन करने के लिए किया जाता है।
8,आसान,ऋण पर सह-हस्ताक्षरकर्ता क्या है?,कोई है जो आपके लिए ऋण का भुगतान करता है,कोई है जो संपार्श्विक प्रदान करता है,कोई है जो ऋण के लिए जिम्मेदार होने के लिए सहमत होता है यदि आप भुगतान नहीं कर सकते हैं,C,वे ऋण के लिए कानूनी जिम्मेदारी साझा करते हैं।
9,आसान,इनमें से कौन सा एक प्रकार का किस्त ऋण है?,एक क्रेडिट कार्ड,एक व्यक्तिगत ऋण,एक क्रेडिट लाइन,B,आप इस ऋण को समान-अनुसूचित भुगतानों की एक श्रृंखला में चुकाते हैं।
10,आसान,ऋण की ब्याज दर क्या निर्धारित करती है?,उधार ली गई कुल धनराशि,जिस गति से आपको ऋण चुकाना होगा,मूलधन पर लगाया गया प्रतिशत,C,यह वह दर है जिस पर उधार लेने की लागत की गणना की जाती है।
11,आसान,डाउन पेमेंट क्या है?,ऋण पर आपका पहला भुगतान,ऋण पर आपका अंतिम भुगतान,खरीद मूल्य का एक हिस्सा अग्रिम में भुगतान किया गया,C,यह एक प्रारंभिक भुगतान है जो आपके द्वारा उधार ली जाने वाली राशि को कम करता है।
12,आसान,किस प्रकार का ब्याज प्रारंभिक मूलधन और पिछली अवधियों से संचित ब्याज दोनों पर गणना की जाती है?,साधारण ब्याज,चक्रवृद्धि ब्याज,निश्चित ब्याज,B,इस प्रकार का ब्याज घातीय वृद्धि का कारण बन सकता है।
13,आसान,अनुग्रह अवधि क्या है?,एक अवधि जहां आपको कोई भुगतान नहीं करना पड़ता है,भुगतान देय होने के बाद का समय जब तक कि देर से शुल्क नहीं लिया जाता है,एक समय अवधि जहां ऋण ब्याज मुक्त होता है,B,यह बिना किसी दंड के भुगतान के लिए एक छोटी खिड़की प्रदान करता है।
14,आसान,उधार देने के संदर्भ में 'संपत्ति' क्या है?,एक बैंक खाता,किसी व्यक्ति या कंपनी के स्वामित्व वाली मूल्यवान कोई चीज़,ऋण की कुल राशि,B,यह कुछ भी मूल्यवान है जिसे संपार्श्विक के रूप में इस्तेमाल किया जा सकता है।
15,आसान,घर खरीदने के लिए किस प्रकार का ऋण सबसे अधिक उपयोग किया जाता है?,एक व्यक्तिगत ऋण,एक क्रेडिट कार्ड ऋण,एक बंधक ऋण,C,इस प्रकार का ऋण विशेष रूप से अचल संपत्ति के लिए बनाया गया है।
16,आसान,एक क्रेडिट रिपोर्ट क्या है?,किसी व्यक्ति के ऋण और क्रेडिट इतिहास का सारांश,किसी कंपनी के वित्तीय स्वास्थ्य पर एक रिपोर्ट,आपकी वार्षिक आय दिखाने वाला एक दस्तावेज़,A,यह दस्तावेज़ आपके पिछले उधार और चुकौती व्यवहार का विवरण देता है।
17,आसान,ऋण की 'अवधि' का क्या अर्थ है?,भुगतान किए गए कुल ब्याज की राशि,ऋण समझौते की अवधि,ऋण की शर्तें और नियम,B,यह वह समय अवधि है जिसके दौरान आपको ऋण चुकाना होगा।
18,आसान,ऋण पर 'चूक' का क्या अर्थ है?,इसे जल्दी चुकाना,सहमत अनुसार भुगतान करने में विफल,भुगतान देय तिथि पर विस्तार मांगना,B,इस कार्रवाई के आपके क्रेडिट के लिए गंभीर नकारात्मक परिणाम हो सकते हैं।
19,आसान,'ऋणदाता' क्या है?,वह व्यक्ति या संस्था जो पैसा उधार लेती है,वह व्यक्ति या संस्था जो ऋण के लिए पैसा प्रदान करती है,वह व्यक्ति जो ऋण की गारंटी देता है,B,वे धन प्रदान करने वाले हैं।
20,आसान,'उधारकर्ता' क्या है?,वह व्यक्ति जो ऋण के लिए पैसा प्रदान करता है,वह व्यक्ति जो ऋण को जल्दी चुकाता है,वह व्यक्ति जिसे ऋण में पैसा मिलता है,C,यह व्यक्ति या संस्था धन का प्राप्तकर्ता है।
21,आसान,कौन सा कारक उच्च ब्याज दर का परिणाम होने की सबसे अधिक संभावना है?,एक उच्च क्रेडिट स्कोर,एक छोटी ऋण अवधि,एक कम क्रेडिट स्कोर,C,आपका क्रेडिट इतिहास और स्कोर ऋणदाता के लिए आपके जोखिम को निर्धारित करने में एक प्रमुख कारक हैं।
22,आसान,ऋण को 'पुनर्वित्त' करने का क्या अर्थ है?,मौजूदा ऋण को जल्दी चुकाना,पुराने को बदलने के लिए एक नया ऋण लेना,ऋण अवधि पर विस्तार प्राप्त करना,B,यह एक ऋण को एक नए के साथ बदलने की प्रक्रिया है - अक्सर अलग-अलग शर्तों के साथ।
23,आसान,'निश्चित-दर' ऋण क्या है?,एक ऋण जहां ब्याज दर समय के साथ बदल सकती है,एक ऋण जहां ब्याज दर पूरी ऋण अवधि के दौरान समान रहती है,एक ऋण जिसकी कोई ब्याज दर नहीं है,B,दर 'निश्चित' है और इसमें उतार-चढ़ाव नहीं होता है।
24,आसान,'परिवर्तनीय-दर' ऋण क्या है?,एक स्थिर ब्याज दर वाला ऋण,एक ब्याज दर वाला ऋण जो समय के साथ बदलता है,बिना ब्याज वाला ऋण,B,ब्याज दर बाजार की स्थितियों के आधार पर परिवर्तन के अधीन है।
25,आसान,निम्नलिखित में से किसकी ब्याज दर आमतौर पर सबसे अधिक होगी?,एक क्रेडिट कार्ड,एक गृह बंधक,एक छात्र ऋण,A,उधार लेने के इस रूप को आमतौर पर ऋणदाता के लिए उच्च जोखिम वाला माना जाता है।
26,आसान,ऋण आवेदन का उद्देश्य क्या है?,अपनी क्रेडिट रिपोर्ट की एक प्रति प्राप्त करने के लिए,एक ऋणदाता को आपकी साख का मूल्यांकन करने के लिए जानकारी प्रदान करने के लिए,ऋण पर भुगतान करने के लिए,B,यह उधार प्रक्रिया में प्रारंभिक चरण है।
27,मध्यम,यदि आप एक साधारण ब्याज ऋण पर आवश्यक से अधिक भुगतान करते हैं - तो तत्काल प्रभाव क्या होता है?,यह आपके अगले आवश्यक भुगतान को बढ़ाता है,यह केवल आपके द्वारा भुगतान किए जाने वाले ब्याज की मात्रा को कम करता है,यह आपके मूलधन की शेष राशि को कम करता है,C,अतिरिक्त राशि सीधे मुख्य ऋण को चुकाने में जाती है।
28,मध्यम,निम्नलिखित में से कौन सा एक निश्चित-दर ऋण का लाभ होगा?,अनुमानित भुगतान,संभावित रूप से कम कुल ब्याज लागत,कम प्रारंभिक ब्याज दर,A,यह सुविधा आपके बजट के लिए स्थिरता और निश्चितता प्रदान करती है।
29,मध्यम,एक उधारकर्ता एक किस्त ऋण पर अपनी कुल ब्याज लागत को कैसे कम कर सकता है?,हर महीने केवल न्यूनतम भुगतान करके,ऋण अवधि बढ़ाकर,मूलधन की ओर अतिरिक्त भुगतान करके,C,मूलधन शेष को तेजी से कम करने से कुल ब्याज की राशि कम हो जाती है जो जमा हो सकती है।
