Question Number,Difficulty Level,Topic,Question,Option A,Option B,Option C,Correct Answer,Correct Answer Commentary,Incorrect Answer Commentary,Hint
1,Easy,लोन की बेसिक बातें,लोन में उधार ली गई मूल रकम को क्या कहते हैं?,ब्याज,मूलधन (Principal),गिरवी (Collateral),B,बिलकुल सही! मूलधन वह असली रक़म है जो आप ब्याज या फीस जुड़ने से पहले उधार लेते हैं। यह आपके पूरे लोन का आधार है।,"असल में, मूलधन वह शुरूआती रकम है जो आप उधार लेते हैं। इसे समझने से आपको यह जानने में मदद मिलती है कि इसके ऊपर ब्याज की गणना कैसे की जाती है।",उस बेस अमाउंट के बारे में सोचें जिसमें कुछ और नहीं जोड़ा गया है।
2,Easy,लोन की बेसिक बातें,पैसे उधार लेने की लागत को क्या कहते हैं?,मूलधन,लोन की अवधि,ब्याज (Interest),C,एकदम सही! ब्याज वह चार्ज है जो लेंडर (उधार देने वाला) आपको पैसे उधार देने के लिए लेता है। यह असल में उधार लेने की कीमत है जो आप चुकाते हैं।,"ब्याज, पैसे उधार लेने का अतरिक्त खर्च है। मूलधन वही रहता है - ब्याज वह है जो उसके ऊपर जोड़ा जाता है।",यह वह अतरिक्त रकम है जो आप मूलधन के ऊपर चुकाते हैं।
3,Easy,लोन की बेसिक बातें,इनमें से कौन सा लोन के लिए गिरवी (collateral) रखने का एक उदाहरण है?,उधार लेने वाले का दस्तखत (signature),एक कार,एक अच्छा क्रेडिट स्कोर,B,"बहुत बढ़िया! एक कार एक भौतिक संपत्ति (physical asset) है जो लोन को सुरक्षित कर सकती है। अगर आप पैसे नहीं चुकाते हैं, तो लेंडर आपकी कार ले सकता है।",गिरवी (Collateral) के लिए कोई कीमती और भौतिक चीज़ होनी चाहिए जिसे लेंडर तब ले सके जब आप पैसे नहीं चुकाते। एक दस्तखत गिरवी नहीं है - एक कार है।,यह एक कीमती संपत्ति है जिसका इस्तेमाल लोन को सुरक्षित करने के लिए किया जाता है।
4,Medium,लोन की बेसिक बातें,आसान शब्दों में 'amortization' (अमॉर्टाइज़ेशन) क्या है?,समय के साथ लोन चुकाने की प्रक्रिया,एक तरह का ब्याज दर,जल्दी पेमेंट करने पर लगने वाली पेनल्टी,A,सही पकड़े! 'Amortization' यह तय करता है कि आपके लोन की पेमेंट कई सालों में कैसे बंटेगी। हर पेमेंट आपके बकाये को थोड़ा-थोड़ा कम करती है।,'Amortization' समय के साथ पेमेंट करने का एक शेड्यूल है। यह कोई पेनल्टी या दर नहीं है - यह पूरे लोन को धीरे-धीरे चुकाने का एक प्लान है।,यह बताता है कि आपके लोन की पेमेंट कैसे तय की जाती है और सालों में बांटी जाती है।
5,Medium,लोन की बेसिक बातें,लोन 'default' (डिफ़ॉल्ट) करने का क्या मतलब है?,कम पेमेंट के लिए बातचीत करना,तय शर्तों के हिसाब से पैसे न चुका पाना,लोन को रीफाइनेंस कराना,B,आप समझ गए! डिफ़ॉल्ट करने का मतलब है कि आपने पेमेंट न करके लोन एग्रीमेंट को तोड़ा है। इसका आपके क्रेडिट पर गंभीर परिणाम होता है।,डिफ़ॉल्ट तब होता है जब आप वादे के मुताबिक पेमेंट करना बंद कर देते हैं। यह बातचीत करने या रीफाइनेंस करने के बारे में नहीं है - यह एग्रीमेंट तोड़ने के बारे में है।,यह तब होता है जब उधार लेने वाले अपनी पेमेंट की शर्तों को पूरा नहीं करते हैं।
6,Hard,लोन की बेसिक बातें,"10 साल के फिक्स्ड-रेट लोन बनाम वेरिएबल-रेट लोन में, अगर ब्याज दरें गिरती हैं तो आमतौर पर कुल मिलाकर कौन सा सस्ता पड़ेगा?",फिक्स्ड-रेट लोन,वेरिएबल-रेट लोन,यह लेंडर (उधार देने वाले) पर निर्भर करता है,B,"बढ़िया विश्लेषण! गिरती दरों के साथ, वेरिएबल-रेट लोन आपके पैसे बचाता है क्योंकि आपकी दर कम हो जाती है। फिक्स्ड-रेट वही रहता है।","अगर दरें गिरती हैं, तो वेरिएबल-रेट लोन सस्ता हो जाता है क्योंकि समय के साथ आपकी ब्याज दर घट जाती है। फिक्स्ड-रेट वहीं लॉक रहता है।",सोचिए कि जब बाज़ार में ब्याज दरें नीचे जाती हैं तो क्या होता है।
7,Easy,लेंडर क्या देखते हैं,जब आप लोन के लिए अप्लाई करते हैं तो लेंडर मुख्य रूप से क्या देखते हैं?,आपकी उम्र,आपकी इनकम कितनी स्थिर है और आपकी क्रेडिट हिस्ट्री,आपका मैरिटल स्टेटस (शादीशुदा हैं या नहीं),B,बिलकुल सही! लेंडर्स को सबसे ज्यादा इस बात की चिंता होती है कि आप पैसे चुका सकते हैं या नहीं। आपकी इनकम और क्रेडिट हिस्ट्री साबित करती है कि आप भरोसेमंद हैं।,लेंडर्स को यह जानना होता है कि क्या आप सच में पैसे वापस चुका सकते हैं। इनकम स्थिरता और क्रेडिट हिस्ट्री आपका ट्रैक रिकॉर्ड दिखाते हैं।,लेंडर्स को यह जानना होता है कि आप पैसे चुका सकते हैं या नहीं।
8,Easy,लेंडर क्या देखते हैं,'Debt-to-income ratio' (कर्ज-से-आय अनुपात) क्या है?,आपकी कुल संपत्ति,आपकी कुल इनकम की तुलना में आपके हर महीने के कर्ज की पेमेंट,आपके सेविंग्स अकाउंट का बैलेंस,B,"परफेक्ट! यह अनुपात लेंडर्स को दिखाता है कि आपकी इनकम का कितना हिस्सा कर्ज में जाता है। अगर यह बहुत ज्यादा है, तो आप रिस्की माने जाते हैं।",'Debt-to-income' (DTI) अनुपात आपकी महीने की इनकम की तुलना में आपके महीने के कर्ज की पेमेंट है। लेंडर इसका इस्तेमाल यह देखने के लिए करते हैं कि कहीं आप पर कर्ज का बोझ ज़्यादा तो नहीं है।,लेंडर इसका इस्तेमाल यह देखने के लिए करते हैं कि आप नया कर्ज चुका पाएंगे या नहीं।
9,Easy,लेंडर क्या देखते हैं,लेंडर आपकी एम्प्लॉयमेंट हिस्ट्री (नौकरी का इतिहास) क्यों चेक करते हैं?,"बस ऐसे ही, जानने के लिए",इनकम की स्थिरता जांचने के लिए,आपकी पर्सनालिटी को आंकने के लिए,B,सही पकड़े! स्थिर नौकरी का मतलब है भरोसेमंद इनकम। जल्दी-जल्दी नौकरी बदलने से लेंडर्स को खतरे का अंदेशा होता है।,एम्प्लॉयमेंट हिस्ट्री लेंडर्स को दिखाती है कि आपकी इनकम स्थिर और भरोसेमंद है या नहीं। एक पक्की नौकरी एक बहुत बड़ा प्लस पॉइंट है।,स्थिर नौकरी का मतलब है भरोसेमंद इनकम।
10,Medium,लेंडर क्या देखते हैं,'Co-signer' (सह-हस्ताक्षरकर्ता) क्या होता है और आपको इसकी ज़रूरत क्यों पड़ सकती है?,कोई जो आपके लिए लोन चुकाता है,कोई जो सहमत होता है कि अगर आप डिफ़ॉल्ट करते हैं (पैसे नहीं चुकाते) तो वह कानूनी तौर पर जिम्मेदार होगा,आपका अकाउंटेंट,B,आप समझ गए! एक 'co-signer' जिम्मेदारी लेता है अगर आप पेमेंट नहीं कर पाते हैं। वे अपने खुद के क्रेडिट के साथ आपकी गारंटी दे रहे हैं।,'Co-signer' वह होता है जिसका क्रेडिट आपसे बेहतर होता है और जो वादा करता है कि अगर आप पैसे नहीं चुकाएंगे तो वह चुकाएगा। वे आपके लिए अपनी साख दांव पर लगा रहे हैं।,वे कर्ज के लिए कानूनी जिम्मेदारी शेयर करते हैं।
